Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Iraq,IRQ,"Population, total",SP.POP.TOTL,175574,179029,182378,185653,188983,192286,195570,198751,201488,203369,204438,206098,209137,212317,215209,217979,220154,221799,223537,225735,228138,230755,233860,236977,239511,241405,243180,245859,249740,252852,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003
Iceland,ISL,"Population, total",SP.POP.TOTL,2114020,2185000,2293000,2379000,2475000,2563000,2629000,2745000,2803000,2877000,2974000,3069000,3148000,3278000,3377000,3455000,3533000,3613000,3690000,3786000,3878000,3956000,4031000,4105000,4159000,4233000,4299000,4369000,4442000,4518000,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500
Israel,ISR,"Population, total",SP.POP.TOTL,50199700,50536350,50879450,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425
Italy,ITA,"Population, total",SP.POP.TOTL,1642331,1663754,1683761,1703868,1725181,1746977,1768803,1790580,1812209,1834615,1859091,1886143,1915299,1945320,1974880,2003094,2029486,2054927,2080485,2106937,2135546,2166657,2199606,2232782,2264095,2292030,2315871,2336245,2354805,2373365,2392030,2411867,2434574,2459062,2484182,2509372,2532894,2554954,2576567,2596271,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377
Jamaica,JAM,"Population, total",SP.POP.TOTL,847936,891848,934615,978607,1029447,1093474,1172770,1265680,1366644,1466428,1557374,1636320,1704787,1767414,1827584,1886636,1945141,2005418,2069104,2138078,2216903,2306655,2406349,2514785,2629939,2751492,2879799,3014694,3157177,3310954,3480587,3666379,3866887,4075759,4278166,4458195,4608676,4733665,4844403,4950775,5056174,5163310,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869
Jordan,JOR,"Population, total",SP.POP.TOTL,93216000,94055000,94933000,95900000,96903000,97952000,98851000,99879000,101011000,102219000,103403000,105697000,107188000,108707000,110162000,111573000,112775000,113872000,114913000,115890000,116807000,117661000,118480000,119307000,120083000,120837000,121482000,122069000,122578000,123069000,123478000,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
Japan,JPN,"Population, total",SP.POP.TOTL,9319283,9639302,9959414,10277790,10590934,10897644,11197568,11491228,11777849,12042478,12265305,12444338,12611997,12789985,12972497,13158942,13346173,13543521,13750291,13957795,14172710,14397391,14634179,14885966,15147590,15413315,15721289,16072478,16430590,16249500,16348000,16451711,16439095,16380672,16145766,15816243,15578227,15334405,15071640,14928374,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,7751435,8047470,8363578,8697200,9047387,9417207,9802605,10201068,10613877,11039551,11473087,11898457,12322903,12760405,13203949,13651908,14102268,14577346,15087423,15620613,16187124,16785962,17411491,18069461,18753176,19452161,20160879,20882094,21626122,22387803,23162269,23918235,24655723,25391830,26133744,26878347,27615736,28364264,29137373,29965129,30851606,31800343,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487
Kenya,KEN,"Population, total",SP.POP.TOTL,2172300,2255900,2333400,2413700,2495300,2573300,2655300,2736500,2818300,2894800,2959900,3022300,3088200,3153800,3223900,3292400,3358700,3423900,3487100,3552000,3617400,3685800,3759300,3838300,3916400,3990300,4066500,4144600,4218400,4307500,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5541676,5664654,5788854,5913680,6040847,6170727,6299230,6426445,6553109,6679708,6708525,6696324,6766289,6852360,6913408,6727922,6307122,6040197,5961193,6051808,6198959,6364472,6619699,6881962,7133899,7376090,7661317,7975597,8269780,8570928,8910808,9259362,9718215,10243550,10636353,10919528,11182612,11431569,11669077,11899006,12118841,12338192,12561779,12787710,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842
Cambodia,KHM,"Population, total",SP.POP.TOTL,47093,48275,49508,50780,52092,53444,54428,54990,55511,56324,57437,58535,59606,60598,60953,60675,60310,59894,59465,59775,60813,61875,62977,64121,65338,66708,68266,69946,71680,73436,75124,76612,77901,79093,80264,81481,82832,84308,85805,87289,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232
Kiribati,KIR,"Population, total",SP.POP.TOTL,56660,56247,55404,54391,53255,52016,50683,49269,47772,46135,44968,44583,44416,44242,44056,43888,43740,43603,43465,43278,43097,42953,42794,42600,42380,42144,41889,41617,41321,40992,40636,40542,40900,41447,42001,42550,43097,43656,44230,44825,45461,45986,46264,46431,46580,46725,46874,47015,47156,47286,47403,47581,47727,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,305415,339697,378190,420494,465748,513840,565463,621242,681117,743044,802786,858734,913785,970527,1030426,1095998,1168791,1247225,1329074,1412266,1493870,1573026,1652921,1736028,1813986,1888975,1968093,2048477,2129153,2210013,1674938,1339500,1620633,1653645,1641106,1655222,1703318,1761468,1819544,1877427,1934901,1991674,2047364,2101506,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873
Kuwait,KWT,"Population, total",SP.POP.TOTL,194711112,200250715,205949399,211793513,217767514,223847681,229988384,236176636,242412816,248701446,255049279,261469430,267987160,274614064,281334755,288125444,294984501,302010242,309220692,316512545,323797061,330950954,338095672,345367369,352669319,359944435,367182475,374403954,381662610,388933687,396328556,403768603,411115420,418431327,425740147,433010808,440183193,447290040,454334962,461289769,468125382,474817217,481353718,487688819,493917791,500076606,506094784,511989821,517759389,523473668,528978305,535014773,541048298,546954103,552781789,558562792,564377885,570381211,576620516,582701622,588011178,592503434,596596955
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,2122532,2171141,2221615,2273219,2325513,2379456,2434861,2491927,2551070,2612111,2675283,2740732,2808290,2877561,2946882,3012720,3072017,3125742,3177945,3233700,3297519,3370993,3453691,3543861,3639956,3741604,3848390,3959697,4074961,4193532,4314443,4437225,4561106,4685296,4807950,4927432,5043914,5150538,5246922,5340056,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475
Lao PDR,LAO,"Population, total",SP.POP.TOTL,1798092,1853295,1911959,1971511,2030440,2087445,2145646,2203202,2262291,2323823,2381791,2442137,2505965,2569841,2632880,2691586,3070419,3457617,3183405,2902164,2963702,3027222,3070133,3106990,3163558,3226750,3308010,3390870,3457148,3525502,3593700,3666734,3745407,3818796,3888144,3959640,4034243,4107551,4178784,4250020,4320642,4389200,4446666,4504807,4574797,4643044,4719864,4809608,4887613,4951135,4995800,5045056,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739
Lebanon,LBN,"Population, total",SP.POP.TOTL,1137026,1165005,1194085,1224169,1255197,1287315,1320315,1354287,1389453,1425879,1463563,1501658,1540995,1582697,1626283,1671632,1718482,1768092,1820861,1875566,1932169,1989690,2047602,2109151,2174194,2239724,2305860,2372449,2439639,2507600,2209731,1939236,2052626,2132771,2125198,2142422,2203966,2383300,2639224,2789743,2895224,2981648,3060599,3085173,3122447,3266318,3455397,3632740,3783887,3905066,4019956,4181150,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681
Liberia,LBR,"Population, total",SP.POP.TOTL,1426986,1478760,1535157,1594758,1652102,1700072,1739831,1778578,1819393,1862823,1909177,1958320,2012796,2084256,2179446,2291841,2413760,2541805,2676117,2816917,2962720,3112015,3265457,3423592,3564547,3684313,3800110,3911939,4021565,4130042,4236983,4341971,4444820,4544970,4641296,4733063,4820066,4902346,4980962,5057998,5154790,5275916,5405326,5542641,5687563,5837986,5973369,6097177,6228370,6360191,6491988,6188132,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341
Libya,LBY,"Population, total",SP.POP.TOTL,91614,92761,93823,94887,95948,97024,98126,99257,100400,101605,103090,104781,106457,108114,109740,111497,113421,115385,117397,119463,121633,123909,126194,128440,130625,132751,134810,136780,138660,140457,142301,144268,146420,148595,150561,152348,153969,155454,156855,158256,159500,160594,161799,163047,164239,165386,166470,167518,168576,169688,170935,172145,173124,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857
St. Lucia,LCA,"Population, total",SP.POP.TOTL,219142626,225304612,231638540,238127927,244742056,251458185,258225265,265030167,271885703,278797542,285779012,292852914,300036114,307345195,314759757,322249100,329807630,337531513,345450768,353452209,361451180,369321289,377189872,385189898,393227113,401251731,409259052,417266298,425320442,433393694,441597528,449847635,458008075,466139063,474258790,482331291,490304061,498199382,506010566,513714410,521281149,528688278,535935546,542976557,549897638,556739532,563424119,569972223,576386180,582738079,588873862,595510008,602139396,608642242,615046755,621390109,627668470,633797190,639628226,645295804,650534986,654980630,659310564
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,243968890,249896083,256085777,262462495,269088057,275967421,283013061,290332504,297960759,305753158,313449479,320446141,327754005,336115608,344768889,353326456,361742318,370439863,379992014,390056928,399246494,408153304,418471354,429841083,441553638,453409898,465218902,477192955,489163995,501471577,513968735,526535602,540619179,555923633,570870487,585613280,600451248,615302205,630487968,646252000,662018171,678096204,695718323,713914587,731736892,749852827,768211301,786317083,804637337,823699833,843512714,864134636,885375140,907133963,929398042,951928215,975265947,999288864,1023493788,1048193552,1073743450,1099568566,1125179454
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,135762574,138934269,142232863,145659986,149260915,153026043,156903784,160978695,165256142,169632655,174131565,178729317,183334870,188076728,193061843,198178476,203399737,208592240,214272852,220230887,225097677,229413733,234808317,240996976,247448306,254069015,260658473,267469591,274348618,281571278,288759638,296103521,304997572,314673487,323847963,333181004,343031111,352755561,362458276,372579993,382593480,392924294,404771898,417212831,429354375,441886612,455313027,469010772,482640782,496609143,510897321,525506329,540002626,553835758,567702296,582173028,597683499,613946858,630865826,648755452,667053670,685250041,703727949
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,9783871,10022888,10267067,10517531,10774086,11035224,11299721,11571008,11846815,12119207,12388769,12654651,12914457,13169737,13418276,13662873,13910170,14159052,14414816,14680387,14943645,15198918,15438753,15658442,15872577,16092338,16317995,16547139,16773736,16990575,17204094,17416596,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,905832820,927621191,949925376,972872519,996352837,1020043942,1043853774,1068117815,1093114705,1118785775,1144754531,1170453002,1197065575,1225343879,1254330938,1283952858,1314446376,1345917410,1377817851,1410875210,1446429615,1484255406,1522502878,1560582055,1599194345,1638678142,1678965564,1719627844,1760619584,1802051624,1844475984,1887004231,1928297051,1968978416,2009876827,2051126886,2092206279,2133529481,2175317595,2217196774,2259879800,2303146181,2345451008,2387347922,2429871397,2471959522,2513577643,2555229019,2596637908,2638537324,2681991417,2726052485,2769675465,2813932332,2858673420,2902878488,2946639176,2990172548,3033153113,3075311775,3117225754,3157462375,3190184199
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2778550,2823550,2863350,2898950,2935200,2971450,3008050,3044400,3078850,3107321,3139689,3179041,3213622,3244438,3273894,3301652,3328664,3355036,3379514,3397842,3413202,3432947,3457179,3485192,3514205,3544543,3578914,3616367,3655049,3684255,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639
Lithuania,LTU,"Population, total",SP.POP.TOTL,313970,316845,320750,324100,327750,331500,333895,334995,335850,337500,339171,342421,346600,350450,355050,358950,360731,361358,362007,362856,364150,365225,365525,365622,365998,366706,368355,370750,373450,377100,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103
